Date,DayOfWeek,StoreID,StoreLocation,ProductCategory,UnitsSold,TotalSales_INR,Profit_INR
8/17/2023,Thursday,2,Andheri,Laptops,14,1120000,112000
8/18/2023,Friday,3,Colaba,Laptops,16,1280000,128000
8/19/2023,Saturday,1,Bandra,Accessories,50,100000,40000
8/20/2023,Sunday,1,Bandra,Smartphones,12,960000,144000
8/21/2023,Monday,2,Andheri,Smartphones,25,2000000,300000
8/22/2023,Tuesday,3,Colaba,Audio,10,150000,45000
8/23/2023,Wednesday,1,Bandra,Audio,32,480000,144000
8/24/2023,Thursday,2,Andheri,Accessories,60,120000,48000
8/25/2023,Friday,3,Colaba,Smartphones,15,1200000,180000
8/26/2023,Saturday,1,Bandra,Accessories,45,90000,36000
8/27/2023,Sunday,2,Andheri,Audio,20,300000,90000
8/28/2023,Monday,3,Colaba,Laptops,20,1600000,160000
8/29/2023,Tuesday,1,Bandra,Smartphones,14,1120000,168000
8/30/2023,Wednesday,2,Andheri,Smartphones,28,2240000,336000
9/1/2023,Friday,3,Colaba,Accessories,50,100000,40000
9/2/2023,Saturday,1,Bandra,Laptops,8,640000,64000
9/3/2023,Sunday,2,Andheri,Laptops,15,1200000,120000
9/4/2023,Monday,3,Colaba,Audio,12,180000,54000
9/5/2023,Tuesday,1,Bandra,Audio,35,525000,157500
9/6/2023,Wednesday,2,Andheri,Smartphones,16,1280000,192000
9/7/2023,Thursday,3,Colaba,Laptops,22,1760000,176000
9/8/2023,Friday,1,Bandra,Accessories,55,110000,44000
9/9/2023,Saturday,2,Andheri,Accessories,70,140000,56000
9/10/2023,Sunday,3,Colaba,Smartphones,18,1440000,216000
9/11/2023,Monday,1,Bandra,Smartphones,16,1280000,192000
9/12/2023,Tuesday,2,Andheri,Audio,22,330000,99000
9/13/2023,Wednesday,3,Colaba,Laptops,18,1440000,144000
9/14/2023,Thursday,1,Bandra,Audio,40,600000,180000
9/15/2023,Friday,2,Andheri,Smartphones,30,2400000,360000
9/16/2023,Saturday,3,Colaba,Accessories,60,120000,48000
9/17/2023,Sunday,1,Bandra,Laptops,10,800000,80000
9/18/2023,Monday,2,Andheri,Smartphones,19,1520000,228000
9/19/2023,Tuesday,3,Colaba,Laptops,25,2000000,200000
9/20/2023,Wednesday,1,Bandra,Accessories,65,130000,52000
9/21/2023,Thursday,2,Andheri,Laptops,18,1440000,144000
9/22/2023,Friday,3,Colaba,Smartphones,20,1600000,240000
9/23/2023,Saturday,1,Bandra,Audio,45,675000,202500
9/24/2023,Sunday,2,Andheri,Audio,25,375000,112500
9/25/2023,Monday,3,Colaba,Accessories,55,110000,44000
9/26/2023,Tuesday,1,Bandra,Smartphones,18,1440000,216000
9/27/2023,Wednesday,2,Andheri,Accessories,80,160000,64000
9/28/2023,Thursday,3,Colaba,Laptops,28,2240000,224000
9/29/2023,Friday,1,Bandra,Laptops,12,960000,96000
9/30/2023,Saturday,2,Andheri,Smartphones,35,2800000,420000
